max1,max2,max3,max4
2,17,3,4
6,20,22,4
9,24,41,4
28,31,41,4
43,41,42,4
43,50,45,18
43,72,45,22
44,75,62,27
51,75,77,31
65,79,83,33
69,79,105,33

14,4,8,0
20,4,27,1
22,17,27,12
22,39,27,16
27,59,27,17
28,79,32,17
30,79,32,41
40,79,45,44
41,82,51,60
59,82,51,68
76,83,51,76
76,109,77,102

0,0,21,5
5,2,27,18
5,3,49,21
24,4,51,25
29,11,51,39
32,21,64,39
45,25,68,44
46,39,75,48
49,39,98,48
49,39,119,53

0,18,3,5
2,38,3,9
20,38,6,14
20,40,16,28
27,42,16,45
27,47,32,50
48,52,32,50
50,59,35,64
50,64,53,67
53,78,61,68
55,89,61,81
70,98,62,82
71,104,67,96

5,0,0,21
9,1,17,25
9,17,18,34
13,21,36,34
17,21,53,39
19,34,59,44
23,34,77,48
29,36,82,61
46,39,84,65
53,53,87,67
53,56,94,83
59,75,95,83
76,76,100,86

4,0,15,7
6,15,23,8
25,19,23,11
43,23,25,13
44,30,29,27
49,34,42,31
49,35,56,42
49,42,62,55
49,45,81,59
50,45,89,76
50,49,98,89
58,50,113,91

19,4,3,0
25,19,8,0
46,24,8,0
46,38,10,10
55,41,10,24
55,46,27,28
61,50,43,28
68,54,58,28
85,54,66,29
85,54,67,54
91,56,85,54
97,56,87,72
114,56,96,72

0,4,8,14
5,8,21,18
9,25,26,18
26,25,28,25
43,27,34,26
45,31,53,27
46,38,67,31
53,39,81,35
54,42,90,48
58,48,105,49

15,0,8,3
16,1,31,4
16,14,31,17
17,21,32,34
31,29,36,34
36,46,40,34
51,47,40,44
55,61,45,47
71,64,52,47
79,68,53,60
100,73,53,60

17,0,5,4
37,0,5,10
38,25,5,10
43,42,5,14
59,45,9,17
59,48,18,31
65,52,34,31
73,53,50,32
78,59,65,32
82,80,65,33
82,100,69,35

5,1,16,4
6,15,20,11
19,15,20,24
26,16,21,41
27,41,21,41
37,41,21,57
51,52,22,57
56,53,22,77
56,57,44,77
60,78,44,78
61,92,51,82
76,92,57,87
80,106,65,87

17,6,1,2
22,6,2,22
29,7,2,40
29,26,5,44
43,26,9,52
44,28,19,65
45,32,40,65
50,49,43,66
56,51,43,84
58,73,43,86
80,75,44,87
81,75,54,102

4,5,16,1
4,10,37,1
8,10,52,8
16,27,53,8
16,28,65,21
20,34,65,37
25,50,68,39
25,56,88,39
46,57,91,40
49,73,91,47
56,76,104,50

2,5,19,0
6,7,25,14
9,20,26,23
28,21,32,23
33,38,32,27
33,44,52,27
33,59,56,34
34,68,69,37
37,77,82,38
37,78,100,45

1,6,6,13
2,6,31,13
6,23,36,13
6,35,36,27
6,41,49,34
17,41,50,48
21,42,50,69
23,55,56,74
37,60,62,75
38,64,70,88
46,81,70,89
63,88,72,89
63,93,88,94
67,107,90,100

0,22,4,0
13,29,4,6
15,34,20,9
15,36,31,22
20,36,46,28
24,49,46,37
28,49,68,37
28,58,69,53
46,64,69,55
52,80,69,59
66,80,75,65
69,82,83,78
76,100,84,78

