max1,max2,rand1,rand2
0,0,4,22
9,1,5,37
17,18,6,37
34,22,9,39
34,45,12,39
39,46,25,46
56,53,25,48
80,53,27,48
80,73,33,48
81,73,37,69
84,86,44,72
84,96,59,73
87,98,63,90
91,99,80,94
109,99,84,98

7,2,3,14
10,20,7,15
11,20,29,18
14,39,33,18
14,57,36,23
14,78,40,24
17,78,41,46
17,86,42,63
19,86,63,66
27,90,76,67
27,92,87,80
31,109,88,84

26,26,26,0
31,31,39,3
36,48,41,5
36,48,42,30
51,48,53,30
51,61,61,35
67,68,64,35
74,82,68,36
75,82,71,58
75,98,75,64
75,104,88,71

3,7,3,13
28,7,3,14
41,12,7,18
41,21,23,19
49,39,23,19
55,56,23,22
60,63,36,23
60,64,39,45
77,64,40,53
78,68,56,58
91,74,60,61
91,92,66,63
107,100,68,63

2,22,1,1
5,26,7,14
5,43,11,19
5,43,29,27
9,63,29,29
11,73,42,30
29,74,47,32
29,77,52,50
49,79,55,51
53,83,55,69
57,96,60,73
60,96,79,77
62,98,101,77

0,6,16,4
3,28,17,4
4,33,24,17
4,51,27,22
4,74,27,25
22,74,27,33
34,74,27,47
34,74,29,71
38,92,33,71
38,114,37,71

0,0,22,4
16,8,23,5
34,12,25,7
34,25,25,20
35,50,25,20
36,50,25,45
40,50,44,48
40,56,63,49
56,56,69,53
70,57,70,63
75,74,70,67
81,76,72,83
81,77,72,108

16,3,2,5
19,5,9,19
22,8,14,34
24,12,16,52
40,18,16,56
40,26,21,69
45,30,24,83
58,36,24,90
58,49,26,101

24,0,1,1
30,14,7,1
31,21,8,18
36,23,22,23
43,23,41,23
45,41,45,25
49,44,60,29
52,53,74,29
52,67,77,38
52,73,81,54
52,81,85,68
52,85,104,71

15,4,5,2
21,4,7,20
24,4,25,25
42,6,27,29
46,7,31,46
46,11,47,52
46,13,47,76
55,13,47,93
59,16,62,97
60,21,80,99
62,39,80,105

1,2,17,6
18,2,21,11
32,6,21,19
37,10,38,19
37,18,38,37
50,21,38,47
52,38,42,50
70,39,44,55
71,46,57,60
71,51,76,62
71,65,85,65
85,71,90,66
85,71,95,87
85,72,104,103

0,4,22,0
1,4,40,7
5,7,57,9
13,20,57,14
19,20,74,17
19,20,94,23
20,40,97,25
27,59,97,25
27,65,111,31

2,20,1,3
3,20,26,3
6,20,26,26
9,22,26,47
33,23,27,47
46,27,32,51
64,30,32,56
83,35,32,58
84,38,48,64
93,39,48,80
97,57,52,80
101,77,52,82

5,13,1,7
6,34,1,11
12,34,20,12
12,34,40,18
12,34,57,27
17,47,64,28
37,47,70,28
43,47,86,32
65,47,87,35
65,49,95,51
69,50,99,68
82,53,109,68

0,0,13,13
13,3,20,16
14,4,39,21
22,5,56,21
29,9,69,23
33,10,73,40
50,15,73,44
52,30,74,52
72,33,74,55
91,39,75,55
92,46,92,56
92,64,96,60
92,72,99,75
98,92,99,75
98,108,104,80

0,19,0,7
6,19,0,27
8,24,13,33
25,28,14,37
38,34,21,37
58,34,27,37
59,55,31,37
59,72,37,40
59,75,56,44
60,89,56,55
60,98,73,55
79,98,76,59
92,102,80,64

0,9,13,4
1,30,16,5
21,32,20,5
33,32,33,6
51,36,33,10
65,43,34,14
66,65,37,14
69,69,41,29
70,73,58,33
71,94,62,33
71,96,85,34
71,100,86,55

13,2,7,4
17,2,29,4
18,2,50,8
20,15,50,19
26,15,56,33
49,15,57,35
49,16,63,54
59,16,77,56
59,16,99,60
74,20,106,60

0,19,6,1
14,19,17,2
17,23,35,3
31,28,42,3
37,28,42,23
44,28,44,40
50,29,50,53
50,30,73,55
61,31,74,68
61,49,78,72
65,51,98,72
69,54,111,78

0,5,16,5
3,26,17,6
4,43,24,7
4,58,35,7
29,58,35,8
29,61,52,14
29,61,59,33
33,61,60,54
40,66,60,68
44,66,82,68
57,74,83,72
57,88,92,75
61,105,96,76

24,0,0,2
37,0,4,11
50,7,9,12
71,7,13,13
89,9,16,16
90,9,41,16
103,9,54,16

26,26,0,26
30,46,2,26
34,46,21,29
38,63,21,34
39,85,24,34
39,101,33,35

2,14,6,4
2,31,12,7
26,31,13,8
47,36,13,8
60,39,20,11
65,58,20,13
67,65,21,29
71,84,23,30
71,88,43,32
71,88,65,36
73,101,71,41

0,1,5,20
1,1,24,26
2,5,45,26
2,12,45,45
2,29,48,51
16,36,52,52
16,51,59,56
16,51,84,57
17,67,87,63
17,67,106,70

9,4,13,0
23,11,13,5
28,15,17,18
30,16,27,31
36,16,31,47
36,21,35,64
37,22,35,88
51,22,45,90
51,29,64,90
51,33,83,93
51,43,99,93
53,57,107,95

