max,paranoid1,paranoid2,paranoid3
4,5,13,4
4,5,29,14
22,11,31,14
30,11,44,19
32,17,44,37
37,35,45,39
38,48,47,49
46,49,51,62
65,52,52,65
86,52,56,66
102,56,59,69

0,3,22,1
0,21,22,9
1,21,22,34
1,21,47,35
4,25,47,54
22,29,51,54
25,31,51,75
46,35,52,75
52,42,65,75
56,59,65,80
67,59,66,94
84,59,67,102

4,16,4,2
18,18,8,8
20,18,12,28
22,32,17,33
26,34,21,49
32,34,26,64
45,34,38,65
61,34,41,72
71,34,57,72
73,40,57,90
75,60,59,92
89,70,59,94
103,80,61,94

18,7,1,0
26,21,1,4
26,38,10,4
27,41,26,10
42,43,35,10
44,53,48,11
44,69,48,21
62,76,48,22
62,100,50,22

6,1,13,6
6,1,33,12
28,1,33,16
42,4,33,25
45,24,34,27
46,25,48,37
50,42,53,37
70,43,56,39
71,58,65,40
73,63,82,42
76,63,87,60
82,63,87,80
86,80,91,81
86,94,103,81

4,3,3,16
14,4,3,31
14,7,21,36
19,9,35,41
20,26,38,46
22,41,41,52
22,67,67,78
32,82,68,78
41,82,81,82
47,89,81,95
47,94,82,115

20,1,0,5
20,7,14,11
24,12,14,28
30,13,31,30
30,13,36,51
30,35,36,55
30,51,42,59
43,56,42,67
43,61,63,67
63,67,63,67
63,74,66,83
65,74,69,104

13,0,10,3
13,14,14,11
13,32,14,19
15,43,27,19
28,49,30,23
43,59,30,24
62,59,37,24
63,70,37,38
67,92,37,38
77,106,38,39

2,22,2,0
10,22,18,2
24,26,26,2
27,26,28,23
28,42,29,31
32,44,36,44
54,44,36,48
59,44,53,52
82,44,54,54
96,44,54,66
96,66,54,70
98,67,76,71
99,71,97,71
114,78,99,73

0,1,8,17
1,1,9,41
3,17,13,45
9,31,19,45
27,31,26,46
27,52,28,49
33,54,46,49
34,67,54,53
44,68,68,54
49,72,69,70
53,76,87,70
59,92,87,74
65,92,100,81

1,0,4,21
5,0,24,23
5,4,30,39
30,4,31,39
30,8,37,55
30,34,63,81
37,34,69,94
39,34,82,105

10,0,16,0
10,8,17,17
28,11,22,17
31,15,35,23
31,20,48,31
38,20,64,34
43,20,81,38
62,20,85,41
65,26,88,55
83,27,88,62
83,43,89,71
89,57,94,72
90,58,108,82

0,14,9,3
6,16,9,21
10,23,10,35
10,23,23,48
10,28,27,65
11,42,34,69
11,56,40,75
14,70,45,79
34,73,46,81
38,86,55,81
38,92,73,83
38,96,91,87
38,100,112,88

1,4,8,13
10,5,23,14
23,8,24,23
44,8,28,24
60,14,28,28
65,29,34,28
78,34,35,35
95,36,35,42
100,36,35,63

5,0,6,15
14,0,20,18
14,20,26,18
28,25,26,25
41,34,30,25
41,38,34,43
60,39,36,47
60,39,48,61
66,41,48,79
66,45,66,83
67,52,71,96
75,66,74,97
75,86,75,102

10,13,1,2
11,13,10,18
12,24,24,18
13,37,31,23
13,37,49,31
16,59,49,32
20,61,53,48
37,67,53,51
43,67,59,65
61,71,60,68
64,78,60,84
71,82,74,85
77,89,87,85
82,89,87,106

3,16,0,7
6,24,0,22
31,24,1,22
35,26,1,42
41,42,1,46
43,59,5,49
56,64,8,54
75,66,13,54
79,66,13,76
83,82,18,77
84,100,18,84

1,6,4,15
6,23,8,15
26,23,8,21
26,27,16,35
41,28,18,43
47,32,34,43
65,32,41,44
65,54,41,48
82,58,44,50
89,58,58,55
107,58,62,59

0,1,10,15
23,1,10,18
24,26,10,18
31,26,16,31
39,39,20,32
45,39,24,48
49,39,37,57
49,58,39,62
66,59,44,65
80,63,48,69
87,77,53,69
87,92,59,74
90,92,59,97
90,94,69,111

1,24,1,0
5,27,15,5
6,40,27,5
25,41,32,6
47,41,34,8
49,45,49,13
66,49,54,13
78,49,55,26
82,66,60,26
85,70,62,43
87,71,62,66
108,76,62,66

0,15,8,3
4,16,12,20
8,32,17,21
8,36,39,21
13,57,39,21
18,57,60,21
42,57,62,21
58,57,72,21
63,63,85,23
72,63,89,36
76,76,93,41
77,93,94,48
77,107,106,48

3,18,5,0
3,22,22,5
3,26,25,24
23,27,30,24
44,29,32,25
69,29,32,26
89,35,32,26
109,36,32,31

13,0,10,3
17,1,29,5
25,1,42,10
29,17,47,11
44,23,52,11
44,42,59,11
45,43,59,35
62,46,65,35
66,60,67,41
80,65,71,44
80,86,71,49
84,89,72,67
84,90,73,91
98,93,78,95
99,93,98,100

5,17,4,0
5,36,11,0
24,43,11,0
30,56,17,1
43,56,25,6
44,62,44,6
49,80,47,6
73,81,47,7
86,86,52,10
86,86,53,35
87,105,57,37

5,0,4,17
9,18,7,18
23,19,17,19
42,25,17,20
50,25,17,38
53,33,19,51
67,33,29,53
67,37,34,70
72,50,41,71
73,53,42,92
74,53,65,94
74,61,78,99
74,61,82,121

