max1,rand1,rand2,rand3
0,8,18,0
19,8,21,4
21,15,34,8
42,18,36,8
58,26,36,10
58,29,36,33
59,47,36,40
61,53,36,58
76,59,40,59
86,74,40,60
105,74,40,67

1,16,0,9
13,17,0,22
16,36,3,23
16,58,3,27
20,59,9,42
21,73,11,51
35,74,16,57
49,79,16,64
69,83,18,64
69,85,31,75
88,89,31,78
102,91,31,88

5,7,0,14
10,8,14,20
14,8,30,26
14,26,31,33
16,31,48,35
25,44,51,36
49,45,51,37
50,69,51,38
60,69,67,38
73,76,69,42
86,86,72,42
86,91,79,56
104,91,87,56

5,20,0,1
11,20,18,3
30,20,21,7
30,41,24,9
34,45,25,26
51,45,26,34
64,53,27,38
65,57,31,55
78,64,37,55
80,64,40,76
82,70,44,90
83,88,51,90
89,91,55,103

4,17,1,4
11,17,20,4
15,21,22,20
15,23,25,41
23,36,25,46
40,44,26,46
48,57,27,50
48,78,29,53
69,79,29,57
87,82,33,58
89,89,49,59
93,89,55,75
93,101,55,89

16,0,2,8
20,3,21,8
22,22,21,13
27,22,28,27
28,22,28,52
41,32,29,54
44,36,32,70
44,49,34,81
58,54,39,83
58,54,43,105

16,10,0,0
31,18,3,0
35,23,16,4
37,28,31,8
52,34,33,11
52,47,41,16
52,51,58,21
52,57,59,40
72,57,65,40
73,57,66,64
73,57,68,88
87,62,73,90
93,78,77,90
94,101,77,92

1,4,2,19
2,11,20,19
2,19,35,22
4,27,37,36
28,27,37,38
29,34,51,42
29,38,69,46
30,42,74,62
37,42,93,62
54,42,94,70
60,42,113,71

13,3,5,5
19,18,9,6
19,24,25,10
21,37,36,10
39,37,36,18
52,45,36,23
68,45,37,32
68,65,38,37
68,78,44,44
81,78,48,53
82,80,49,75
95,89,53,75
95,109,53,81

19,2,5,0
19,8,25,0
39,8,25,6
47,10,26,21
52,13,44,21
57,17,60,22
62,18,62,40
83,23,62,40
84,25,66,59
88,29,84,59
88,49,89,60
101,59,89,63

0,7,19,0
18,7,23,4
23,7,36,12
23,11,53,17
39,17,56,18
49,18,58,31
52,31,68,31
55,36,85,32
56,42,89,47
67,57,89,47
93,57,115,73

1,14,2,9
15,18,2,17
16,30,2,30
16,38,2,48
34,40,8,48
34,45,12,65
47,52,18,65
66,57,18,67
74,74,18,68
77,96,19,68
77,99,33,77
78,105,52,77

9,13,4,0
12,36,4,0
18,38,7,15
21,54,11,18
24,62,26,18
27,64,32,33
36,68,45,33
36,89,46,37
37,89,56,52
37,100,58,65

0,13,8,5
1,21,21,9
8,25,22,23
23,28,26,27
24,35,29,42
24,52,29,51
26,56,45,55
36,56,60,56
56,62,60,56
62,78,64,56
66,78,72,70
81,83,78,70
82,83,99,74
87,104,99,74

1,11,14,0
15,12,19,6
28,21,23,6
47,21,30,6
47,24,32,27
47,28,52,29
64,35,52,31
67,41,65,35
67,56,72,39
71,65,85,39
72,68,98,48
74,72,118,48

2,5,19,0
5,7,23,17
13,9,23,33
14,9,23,58
29,9,29,63
30,11,33,82
34,11,35,102

1,0,5,20
22,3,6,21
22,3,18,35
40,8,18,38
58,8,18,46
58,15,34,49
68,15,37,62
70,18,51,69
81,18,66,69
81,35,71,73
86,35,88,77
88,35,109,80

4,0,14,8
5,23,14,10
5,23,37,13
5,24,54,21
10,24,69,27
18,25,73,40
26,25,76,55
26,28,90,64
43,29,93,69
43,31,115,71

15,7,4,0
18,10,7,17
25,11,25,17
28,16,25,35
49,17,29,35
49,31,37,39
55,35,38,54
55,35,58,60
68,36,59,71
86,44,59,71
99,45,65,77
99,67,69,77
100,88,71,79

0,22,0,4
1,38,6,7
1,40,6,31
3,40,19,42
11,58,19,42
11,78,21,46
16,78,34,54
34,83,34,57
40,84,34,76
40,99,40,81
40,100,44,102

23,2,0,1
28,22,1,1
31,35,11,1
31,38,32,3
33,40,54,3
36,58,54,8
