paranoid,max1,max2,max3
1,0,20,5
6,2,39,5
19,7,43,9
35,7,52,10
48,7,60,15
67,8,66,15
71,30,66,15
72,30,83,23
72,30,91,41
72,32,102,54

0,25,0,1
1,44,4,3
5,48,18,7
6,66,19,13
31,66,20,13
33,66,37,20
49,73,40,20
62,73,52,21
73,88,52,21
75,88,52,45
79,106,52,49

6,1,19,0
22,5,19,6
22,25,20,11
22,47,21,14
38,47,31,14
38,53,31,34
40,69,31,42
44,86,36,42
57,91,42,44
70,91,54,45
85,98,54,49
85,98,70,59
86,105,88,59

1,6,5,14
7,22,5,18
12,22,19,25
36,22,19,27
42,26,33,29
42,40,41,33
57,46,42,37
57,58,55,38
59,59,55,61
63,76,60,61
69,92,60,65
83,95,69,65
87,99,70,82
87,121,74,82

0,6,0,20
2,13,16,21
4,20,20,34
9,20,28,47
10,20,49,51
15,21,54,66
15,45,54,68
19,46,74,69
32,48,74,80
35,48,95,82
39,48,99,100

5,0,18,3
18,2,29,3
20,2,46,10
20,21,50,13
20,25,68,17
20,25,69,42
27,29,69,57
31,46,74,57
45,48,76,65
49,64,82,65
71,66,82,67
77,84,82,69
81,84,97,76
88,85,113,78

7,1,17,1
7,2,24,19
14,18,24,22
33,18,31,22
57,20,31,22
59,30,31,36
80,31,35,36
93,38,35,42
119,64,35,68

2,6,2,16
3,9,6,34
6,14,7,51
7,33,8,56
9,46,14,61
23,47,20,66
27,47,26,82
43,47,26,92
48,51,26,109

0,21,5,0
1,21,26,4
2,26,28,22
6,28,31,39
7,44,37,42
12,51,51,42
12,51,58,61
14,52,71,71
20,54,71,89
24,67,74,95
25,68,90,103

0,10,2,14
16,12,8,16
16,24,22,16
17,24,30,33
18,28,35,49
35,29,42,50
35,30,42,75
36,35,60,77
42,52,63,77
46,56,67,91
60,56,76,94
62,59,91,100

25,1,0,0
25,15,3,9
31,28,5,14
33,29,11,31
33,51,11,35
33,68,11,44
40,69,29,44
44,85,29,50
62,89,31,52
72,89,31,68
73,89,42,82
76,90,45,101

6,13,4,3
9,13,8,22
9,15,8,46
9,27,21,47
9,48,25,48
10,53,44,49
27,57,44,54
31,61,61,55
31,61,80,62
35,79,80,66
36,79,102,69

0,0,25,1
17,3,28,4
17,24,33,4
36,26,33,9
41,34,33,22
43,34,49,30
43,43,49,47
56,47,58,47
63,60,58,53
75,61,71,53
82,63,84,57
82,81,84,65
84,85,87,82
97,94,87,86
97,97,109,87

17,1,3,5
35,6,3,8
35,27,7,9
35,29,14,26
43,32,16,39
43,45,24,44
45,59,24,54
47,77,26,58
49,82,32,71
56,99,34,71
57,103,47,79

0,20,4,2
13,24,5,10
13,24,12,29
20,24,31,29
22,24,42,42
34,25,42,55
34,45,48,55
38,61,54,55
38,72,69,55
46,73,71,70
63,80,72,71
69,84,87,72
78,101,87,72

0,15,1,10
0,15,22,15
2,25,22,29
2,38,35,29
10,38,39,43
21,38,54,43
22,52,58,50
26,66,66,50
28,66,75,65
45,66,76,73
45,83,81,77
64,83,86,79
64,96,88,90
80,97,93,94
81,102,110,97

0,2,20,4
1,18,21,12
10,22,21,25
21,36,22,25
38,41,22,29
44,41,42,29
45,61,42,34
62,62,49,35
62,62,71,39
77,67,71,45
81,72,84,49
94,74,89,55
112,75,89,62

4,19,2,1
17,23,7,5
18,28,7,25
20,47,7,30
33,54,7,36
33,54,11,58
50,62,11,59
50,67,12,79
54,74,12,94
54,76,35,95
72,79,35,100

1,22,3,0
17,23,10,2
32,30,10,6
32,53,10,9
50,53,16,11
51,73,20,12
54,77,20,31
61,94,22,31
66,98,37,33
81,105,37,37

8,3,1,14
13,5,2,32
13,6,6,53
38,6,7,53
38,24,7,61
51,25,16,64
51,25,21,85
56,25,36,91
74,25,37,98
88,26,41,105

5,19,0,2
8,19,4,21
10,32,6,30
10,37,23,34
14,59,23,34
31,59,27,39
35,59,28,60
37,76,28,67
57,76,32,69
60,82,45,73
67,86,46,87
67,91,46,108

0,18,0,8
0,21,7,24
14,21,13,30
14,22,17,51
14,35,25,56
32,41,27,56
38,41,34,69
39,46,34,89
42,59,37,96
42,59,46,113

14,4,4,4
14,21,9,8
19,25,25,9
32,32,27,13
38,46,27,19
52,54,27,23
52,58,29,43
53,62,30,63
57,66,46,65
57,67,60,76
58,88,64,76
58,101,68,85

2,0,0,24
19,4,4,25
21,6,18,33
29,10,18,47
29,15,35,51
47,20,38,51
50,20,61,51
50,44,61,53
50,48,82,54
52,48,96,64
70,55,97,64
74,59,114,65

18,2,2,4
28,2,15,7
36,17,18,7
36,22,22,24
39,41,23,27
39,41,42,34
39,54,42,47
39,58,46,65
43,67,46,78
62,70,50,78
63,74,71,78
66,80,87,79
87,85,87,79
102,86,91,85

