paranoid1,max1,paranoid2,max2,,paranoid1,max1,paranoid2,max2,,,
7,1,17,1,,7,1,17,1,,,
10,18,23,1,,3,17,6,0,,,
18,22,24,14,,8,4,1,13,,,
18,39,33,14,,0,17,9,0,,,
19,40,43,28,,1,1,10,14,,,
21,42,46,47,,2,2,3,19,,,
35,48,51,48,,14,6,5,1,,,
38,48,72,50,,3,0,21,2,,,
45,51,85,53,,7,3,13,3,,,
65,51,87,57,,20,0,2,4,,,
66,75,87,58,,1,24,0,1,,,
74,88,87,63,,8,13,0,5,,,
79,88,108,63,,5,0,21,0,,,
,,,,,,,,,,,
15,7,4,0,,15,7,4,0,,,
17,7,23,5,,2,0,19,5,,,
19,20,30,9,,2,13,7,4,,,
19,25,35,25,,0,5,5,16,,,
19,51,61,51,,0,26,26,26,,,
19,54,69,66,,0,3,8,15,,,
26,69,69,70,,7,15,0,4,,,
36,69,72,83,,10,0,3,13,,,
57,70,76,83,,21,1,4,0,,,
65,71,79,97,,8,1,3,14,,,
76,73,92,97,,11,2,13,0,,,
77,77,94,116,,1,4,2,19,,,
,,,,,,,,,,,
5,6,15,0,,5,6,15,0,,,
14,23,15,0,,9,17,0,0,,,
23,37,15,3,,9,14,0,3,,,
37,37,19,11,,14,0,4,8,,,
42,52,21,15,,5,15,2,4,,,
43,60,38,15,,1,8,17,0,,,
49,75,39,19,,6,15,1,4,,,
65,82,39,22,,16,7,0,3,,,
67,102,42,23,,2,20,3,1,,,
,,,,,,,,,,,
9,14,3,0,,9,14,3,0,,,
9,20,23,0,,0,6,20,0,,,
14,21,39,4,,5,1,16,4,,,
35,22,43,4,,21,1,4,0,,,
51,22,49,8,,16,0,6,4,,,
54,40,53,9,,3,18,4,1,,,
54,52,66,10,,0,12,13,1,,,
71,56,66,15,,17,4,0,5,,,
89,56,74,15,,18,0,8,0,,,
96,56,74,34,,7,0,0,19,,,
114,58,78,36,,18,2,4,2,,,
,,,,,,,,,,,
8,1,0,17,,8,1,0,17,,,
26,1,2,23,,18,0,2,6,,,
34,1,6,37,,8,0,4,14,,,
36,18,8,42,,2,17,2,5,,,
59,19,8,44,,23,1,0,2,,,
59,37,12,48,,0,18,4,4,,,
61,40,12,69,,2,3,0,21,,,
75,44,16,73,,14,4,4,4,,,
77,52,31,74,,2,8,15,1,,,
89,52,45,74,,12,0,14,0,,,
90,57,48,91,,1,5,3,17,,,
109,58,54,91,,19,1,6,0,,,
,,,,,,,,,,,
5,3,1,17,,5,3,1,17,,,
12,3,3,34,,7,0,2,17,,,
15,17,8,38,,3,14,5,4,,,
30,20,16,38,,15,3,8,0,,,
34,38,16,42,,4,18,0,4,,,
36,44,34,42,,2,6,18,0,,,
53,47,39,43,,17,3,5,1,,,
57,47,59,45,,4,0,20,2,,,
61,51,73,49,,4,4,14,4,,,
67,68,76,49,,6,17,3,0,,,
81,72,80,53,,14,4,4,4,,,
88,87,81,56,,7,15,1,3,,,
105,88,81,64,,17,1,0,8,,,
,,,,,,,,,,,
0,25,1,0,,0,25,1,0,,,
4,38,10,0,,4,13,9,0,,,
30,64,10,26,,26,26,0,26,,,
30,73,11,42,,0,9,1,16,,,
38,75,11,58,,8,2,0,16,,,
47,91,11,59,,9,16,0,1,,,
47,97,15,75,,0,6,4,16,,,
50,98,36,76,,3,1,21,1,,,
50,107,40,89,,0,9,4,13,,,
,,,,,,,,,,,
5,0,20,1,,5,0,20,1,,,
10,0,41,1,,5,0,21,0,,,
13,20,42,3,,3,20,1,2,,,
28,26,43,7,,15,6,1,4,,,
29,26,67,8,,1,0,24,1,,,
34,28,84,10,,5,2,17,2,,,
34,39,86,23,,0,11,2,13,,,
38,44,86,40,,4,5,0,17,,,
41,44,90,59,,3,0,4,19,,,
43,62,92,63,,2,18,2,4,,,
69,88,118,63,,26,26,26,0,,,
,,,,,,,,,,,
0,20,0,6,,0,20,0,6,,,
3,23,20,6,,3,3,20,0,,,
6,25,25,22,,3,2,5,16,,,
19,34,29,22,,13,9,4,0,,,
26,34,33,37,,7,0,4,15,,,
