paranoid1,max1,paranoid2,max2
5,0,4,17
5,17,13,17
6,19,23,30
10,24,39,31
23,27,42,38
27,31,42,56
27,35,45,75
34,36,63,75
36,49,70,79
37,63,74,86
42,63,91,90
49,78,91,94
49,80,104,105

14,7,3,2
18,8,16,10
31,8,29,10
45,8,33,18
51,8,33,38
53,28,37,38
53,36,37,56
54,40,53,61
54,40,62,78
60,44,78,78
61,48,85,92
75,52,91,94
75,73,95,95
75,76,101,112

8,0,16,2
10,3,29,10
25,11,29,13
25,16,29,34
29,32,30,39
36,33,48,39
61,33,49,39
78,39,49,42
78,43,57,56
78,59,57,66
78,62,61,85
82,75,61,94
84,96,64,94
84,120,64,96

1,16,1,8
6,21,4,21
6,26,8,38
11,27,21,45
17,33,35,45
36,35,35,50
40,53,39,50
55,53,46,54
55,54,46,79
60,56,65,79
76,56,75,79
76,73,79,84
79,76,84,99
83,96,85,100

19,0,7,0
32,0,19,1
37,6,34,1
38,19,36,11
51,31,37,11
52,39,50,15
55,43,68,16
58,52,81,17
59,54,82,39
72,54,89,45
81,55,89,61
90,55,89,78
94,69,92,83
95,92,92,85
98,95,97,100

0,8,16,2
1,15,16,20
22,16,19,21
26,20,36,22
26,36,46,22
27,37,66,26
27,40,66,49
27,46,85,50
37,47,100,50

2,0,1,23
23,4,2,23
27,22,5,24
27,30,19,28
48,31,19,32
48,31,33,44
49,39,50,44
56,52,55,45
69,58,62,45
82,63,62,53
85,67,64,70
91,67,84,70
91,68,103,76

2,4,17,3
5,8,17,22
24,13,18,23
28,28,19,29
39,28,19,44
39,28,33,56
54,30,41,57
54,40,41,73
72,48,41,73
72,56,41,91
81,56,55,94
82,56,65,109

0,1,7,18
7,15,12,18
23,16,19,20
23,16,41,24
36,24,46,24
37,30,60,29
38,32,79,33
50,45,80,33
58,45,97,34
58,64,104,34

15,0,6,5
20,5,20,7
26,20,25,7
26,23,34,21
27,28,51,24
39,29,51,37
40,30,54,58
41,46,58,63
48,61,58,67
51,69,58,82
71,69,61,85
72,75,74,91
78,75,92,93
81,79,109,95

17,0,5,4
23,19,5,5
24,24,25,5
40,24,28,12
47,38,29,16
52,43,45,16
57,46,49,30
65,47,62,34
65,66,69,34
65,71,69,55
70,91,69,56
81,92,70,69
99,94,75,70
103,94,79,88

5,0,0,21
9,21,0,22
24,30,2,22
40,30,8,26
41,42,21,26
41,65,24,26
47,69,24,42
47,89,25,47
51,91,40,52
51,95,57,57
56,114,58,58

18,2,0,6
18,5,0,29
18,9,16,35
20,30,18,36
25,48,21,36
28,61,21,46
28,65,30,59
36,67,45,60
36,91,46,61
37,91,57,75
43,92,75,76
47,106,82,77

4,5,13,4
9,5,26,12
10,9,31,28
12,13,38,41
15,34,38,43
15,37,55,49
32,45,55,50
39,46,68,55
42,63,69,60
42,87,71,60
57,94,75,60
59,94,76,83
79,94,80,85
79,114,83,88

2,6,4,14
17,6,4,25
22,27,4,25
27,44,5,28
30,51,8,41
43,55,17,41
62,55,17,48
81,55,19,53
101,61,19,53

9,1,0,16
24,1,3,24
24,5,25,24
37,11,26,30
41,25,34,30
41,30,54,31
44,36,71,31
46,54,72,36
64,58,76,36
75,71,76,38
75,79,76,56
93,80,77,62
99,86,90,63
100,90,94,80

0,1,13,12
0,2,34,16
3,2,55,18
23,2,59,20
27,9,59,35
37,9,59,51
37,23,63,59
55,27,67,59
64,42,67,61
70,58,67,65
74,58,67,87
78,72,67,95
98,72,71,97
123,72,72,97

15,0,1,10
15,5,19,13
21,8,33,16
34,16,36,18
50,20,42,18
63,20,55,18
63,20,61,38
77,23,70,38
77,26,78,53
81,32,91,56
101,33,91,61

16,3,1,6
17,11,18,6
20,11,22,25
24,13,36,31
26,28,36,40
44,33,36,43
57,46,36,43
72,46,36,54
79,50,36,69
80,66,45,69
88,69,59,70
93,69,65,85
96,84,68,90
98,103,69,94

4,0,22,0
4,4,35,9
9,20,40,9
9,38,44,13
25,38,53,14
33,39,53,31
33,39,73,37
50,45,73,40
54,45,80,55
71,46,84,59
77,46,89,74
90,48,100,74

17,0,4,5
17,7,8,20
17,10,15,36
22,14,32,36
25,14,47,44
25,19,49,63
35,19,49,79
38,23,62,85
59,27,63,85
63,41,69,87
68,44,87,87
82,50,88,92
97,57,92,92
101,63,108,92

1,7,14,4
21,12,14,5
21,18,34,5
23,22,41,18
28,36,42,24
30,45,42,39
44,49,49,40
51,64,50,43
51,85,51,47
59,85,55,61
63,85,55,83
69,91,69,83
82,91,69,96
108,91,95,122

5,4,16,1
8,9,17,18
28,11,17,22
33,24,25,22
36,41,25,28
36,44,25,51
56,48,27,51
57,49,51,51
58,69,51,56
64,69,52,75
83,72,52,79
100,73,52,87

9,0,2,15
9,16,8,19
9,20,12,37
23,22,22,37
40,27,26,37
41,43,32,40
41,47,32,62
45,67,32,64
56,81,33,64
75,86,35,64
89,86,46,65
89,107,47,69

5,14,0,7
22,18,1,11
24,31,12,11
24,38,16,26
24,38,19,49
31,57,19,49
47,61,24,50
47,62,27,72
47,75,29,83
47,76,32,105

