paranoid1,paranoid2,paranoid3,paranoid4
4,15,7,0
7,21,24,0
7,21,28,22
11,21,45,27
28,22,52,28
33,23,71,29
36,28,89,29
37,32,105,34

5,2,4,15
5,3,25,19
5,20,31,22
19,24,35,26
27,25,48,30
27,32,48,49
31,49,48,54
31,50,60,67
32,52,73,77
32,54,91,83
37,58,105,86

7,4,1,14
11,19,7,15
14,19,7,38
22,33,7,42
22,39,8,61
23,44,27,62
26,61,30,65
30,61,46,71
31,70,46,87
33,70,66,91
39,77,66,104

6,14,0,6
6,18,20,8
12,34,20,12
19,34,39,12
35,39,43,13
51,49,43,13
60,62,43,17
61,83,46,18
66,83,59,26
66,96,63,35
88,96,66,36
91,105,79,37

1,4,0,21
22,4,5,21
26,17,13,22
33,20,26,25
33,40,31,26
33,40,54,29
36,46,58,42
56,50,59,43
71,51,65,47
72,56,83,49
81,56,99,50
86,60,103,63

2,0,20,4
5,10,33,4
18,14,41,5
26,14,54,10
26,18,76,10
44,18,80,14
57,28,80,17
63,28,100,17

13,5,4,4
39,31,30,4
52,38,30,10
53,59,34,10
54,80,34,14
54,85,52,17
55,98,52,29
57,98,55,50
71,102,55,58

7,6,13,0
25,10,15,2
32,24,19,3
33,42,22,7
51,46,23,10
64,51,27,14
71,51,27,33
71,52,52,33
74,52,59,49
74,68,66,52
77,81,75,53
98,81,76,57
105,95,80,58

4,0,22,0
7,0,29,16
7,3,39,29
14,3,55,32
14,14,56,46
19,32,57,48
41,32,57,52
41,38,57,72
59,38,59,78
61,39,78,82
65,44,82,95
66,63,86,97
66,83,87,102

2,17,7,0
8,30,12,2
13,32,28,5
13,40,41,10
15,54,41,20
30,54,47,25
35,59,50,38
35,67,50,56
38,82,54,60
52,86,58,64
52,89,68,77
53,89,70,100

3,17,5,1
9,17,7,19
9,30,8,31
10,34,8,52
13,51,9,57
19,51,15,71
19,71,15,77
41,71,19,77
59,79,19,77
63,85,19,93
63,90,20,113

0,1,0,25
0,2,19,31
14,5,20,39
23,5,20,56
36,9,20,65
62,9,46,91
62,15,62,95
67,21,77,95
67,37,77,105

4,4,18,0
6,8,25,13
6,8,33,31
13,12,48,31
19,31,48,32
24,33,54,45
31,38,67,46
39,53,69,47
63,54,70,47
80,54,75,51
95,57,83,51
100,57,96,59

4,4,1,17
8,24,2,18
12,41,7,18
12,46,10,36
37,47,10,36
63,73,10,62
81,80,10,63
86,98,13,63
86,105,14,81

12,14,0,0
13,32,6,1
15,32,22,9
36,32,22,14
52,33,26,19
53,33,44,26
53,41,48,40
62,54,52,40
85,55,52,42
88,60,52,60
98,60,52,76
102,73,53,84

3,1,5,17
7,17,11,17
11,33,17,17
12,37,30,25
14,55,30,31
16,57,43,40
37,57,43,45
38,74,49,47
38,74,74,48
46,74,79,61
50,90,85,61
64,92,91,65
70,92,108,68

0,13,10,3
9,14,13,16
13,32,13,20
18,53,13,20
33,55,21,21
34,75,25,22
35,75,30,42
36,78,51,43
49,86,56,43
49,88,56,67
57,89,56,84
61,89,63,99
76,93,63,106

6,0,13,7
6,1,35,10
23,7,35,13
26,9,43,26
34,14,43,39
39,14,56,47
56,14,58,54
71,18,62,57
77,18,63,76
78,28,78,76
80,35,81,90
81,57,84,90
98,57,93,90
98,78,94,94
103,79,114,94

19,4,3,0
24,4,20,4
26,19,27,6
47,20,27,10
53,21,33,23
79,21,59,49
79,23,66,66
79,45,70,66
79,59,82,66
79,70,95,68
96,71,102,69

6,13,7,0
6,17,24,5
8,41,24,5
11,41,29,23
14,42,34,40
14,56,42,44
15,60,61,46
19,74,65,50
23,92,69,50
23,106,81,50

1,0,20,5
1,18,21,12
8,18,36,16
21,18,45,20
26,21,63,20
26,45,65,20
26,64,68,24
30,79,72,27
43,79,85,27
49,81,85,45
64,86,89,47
90,112,89,73

17,3,2,4
32,14,2,4
51,15,3,9
51,40,4,9
51,43,27,9
54,50,41,11
59,71,41,11
63,84,44,17
63,92,57,22
66,94,78,22
68,116,78,24

13,8,0,5
13,12,5,22
13,22,5,38
15,23,24,42
17,29,28,56
20,46,33,57
28,50,46,58
29,66,54,59
29,70,75,60
29,75,82,74
29,92,85,80
32,108,85,87

26,26,0,26
28,26,7,43
33,42,7,48
33,51,22,50
36,68,22,56
37,88,26,57
37,108,27,62

1,4,20,1
15,13,22,2
19,14,39,6
40,17,39,8
45,17,40,28
45,33,48,30
47,40,50,45
52,53,51,52
54,62,65,53
58,66,83,53
62,66,83,75
79,67,91,75
94,77,92,75
94,83,111,76

