paranoid1,paranoid2,rand1,rand2
0,4,0,22
1,5,13,33
14,12,17,35
14,34,21,35
22,34,39,35
45,34,41,36
46,48,48,40
46,48,72,42
48,48,81,57
55,48,82,75
71,52,82,81
74,55,97,86
93,61,97,87
112,66,97,89

0,6,13,7
21,6,17,8
21,9,39,9
24,13,57,10
26,18,57,29
26,21,70,39
52,21,96,65
52,34,96,78
53,38,103,92

1,7,0,18
1,22,10,19
6,37,16,19
10,38,30,26
10,57,37,26
13,76,41,26
14,92,46,30
15,94,63,36
17,96,85,36
37,102,85,36

0,16,4,6
8,16,17,11
29,19,17,13
50,19,21,14
58,37,21,14
61,39,38,18
82,43,39,18
85,47,39,37
89,47,44,54
99,62,45,54
107,75,46,58

0,0,7,19
0,15,7,30
1,30,17,30
14,30,30,30
40,56,56,30
40,61,69,38
40,67,76,51
53,67,85,55
53,71,86,76
79,71,112,102

0,4,0,22
19,4,0,29
23,4,9,42
25,25,12,42
31,30,25,44
41,31,39,45
41,31,61,49
44,36,64,64
45,43,79,67
45,69,105,93

0,0,7,19
3,0,7,42
24,0,12,42
30,19,12,43
30,36,13,51
41,36,13,66
42,37,31,72
44,42,50,72
70,42,76,98
74,56,80,102

4,0,1,21
4,4,1,43
5,4,19,50
18,9,23,54
29,9,23,69
29,10,31,86
29,29,32,92
33,35,45,95
35,37,67,95
38,37,70,115

17,0,0,9
18,14,9,11
18,19,30,11
18,21,53,12
35,22,55,18
53,22,59,22
69,23,64,26
82,23,72,31
101,24,74,35

4,17,1,4
20,17,5,10
30,19,5,24
31,23,9,41
57,49,35,41
64,49,38,57
79,50,47,58
91,63,47,59
93,84,47,62
93,89,68,62
97,89,75,77
99,102,83,80

1,1,18,6
21,1,18,12
29,1,32,16
53,1,32,18
56,22,32,20
58,36,39,23
58,36,48,40
64,36,63,45
67,38,83,46
69,38,87,66
69,38,91,88
69,64,117,114

0,23,1,2
1,28,14,9
27,54,14,35
42,57,19,38
45,59,39,39
48,60,39,61
67,63,43,61
68,76,48,68
72,77,52,85
85,83,52,92
105,83,58,92

0,15,10,1
13,21,17,1
27,28,17,6
32,29,17,26
36,44,17,33
51,44,22,39
57,44,38,43
78,44,41,45
78,48,63,45
95,49,69,47
115,55,69,47

1,8,4,13
1,12,23,16
2,28,26,22
15,28,39,22
18,33,42,37
24,33,45,54
28,37,47,70
32,37,65,74
32,56,68,78
32,56,69,103

18,0,4,4
33,4,11,4
43,4,11,20
48,8,26,22
54,12,42,22
57,13,47,39
64,13,66,39
73,27,69,39
79,27,75,53
88,27,92,53
91,32,93,70
96,32,100,84

10,0,14,2
11,10,29,2
30,14,29,5
31,14,50,9
31,16,70,13
44,20,75,17
70,20,101,43

4,0,13,9
7,13,17,15
9,16,17,36
10,17,30,47
11,30,42,47
16,31,62,47
31,38,62,51
35,39,63,71
49,46,63,76
63,46,74,77
67,46,83,90
71,50,83,108

2,3,16,5
24,3,16,9
24,15,30,9
28,20,31,25
42,31,31,26
47,31,38,40
47,36,43,56
48,36,48,76
48,36,68,82
48,43,83,86
48,54,83,101

