paranoid1,rand1,rand2,rand3
13,6,3,4
13,23,8,8
19,30,8,21
19,55,9,21
26,55,28,21
43,55,36,22
61,55,38,28
75,63,38,32
85,63,38,48
93,68,51,48
103,82,51,50

9,13,0,4
27,13,6,6
27,16,11,24
33,16,17,38
33,16,37,44
33,23,41,59
34,30,54,64
52,31,54,71
55,38,57,84
65,38,73,84
65,41,96,84
84,41,101,86

17,7,1,1
17,13,5,17
17,15,24,22
17,21,41,25
23,21,41,45
36,22,50,48
49,23,58,52
49,23,67,69
54,24,71,85
54,24,82,100

2,13,5,6
3,32,6,11
3,52,12,11
5,57,13,29
5,62,34,29
5,84,38,29
26,84,39,33
28,92,54,34
28,109,54,43

1,21,2,2
1,45,4,2
10,47,19,2
23,52,20,9
25,57,26,22
45,63,26,22
58,63,26,35
74,63,36,35
76,73,36,49
76,79,41,64
76,97,46,67
77,100,46,89

4,0,0,22
9,19,2,22
10,22,24,22
25,30,27,22
25,33,36,36
27,38,40,51
40,43,43,56
41,58,47,62
46,60,49,79
47,77,57,79
47,77,58,104

0,1,17,8
2,18,17,15
2,22,22,32
5,35,31,33
30,36,31,33
54,38,31,33
67,39,38,38
68,44,42,54
68,63,42,61
69,67,61,63
69,70,79,68
89,71,80,72
89,72,87,90
100,72,87,105

25,0,0,1
30,0,17,5
30,0,39,9
46,1,45,12
59,9,46,16
59,25,53,19
62,28,73,19
87,29,73,19
88,30,91,25
92,30,91,47
92,34,91,69
92,57,93,70
106,57,105,70

0,3,5,18
0,3,12,37
15,8,12,43
19,12,12,61
21,16,32,61
32,16,46,62
33,16,51,82
34,18,68,88
41,19,70,104

0,4,15,7
19,7,15,11
19,20,24,15
19,38,30,17
33,47,33,17
33,47,57,19
37,48,64,33
41,64,69,34
45,77,70,42
61,82,70,47
70,85,83,48
96,85,109,74

19,5,0,2
19,22,4,7
21,28,22,7
22,46,29,7
24,49,32,25
30,53,32,41
37,59,45,41
51,65,45,47
53,87,47,47
55,90,47,68
70,90,53,73
76,94,68,74
76,98,84,80
97,98,89,80
99,108,89,94

15,0,2,9
15,2,6,29
15,8,9,46
15,15,11,63
24,31,12,63
42,31,19,64
46,36,32,68
50,40,48,70
51,57,54,72
59,74,54,73
64,79,69,74
81,79,73,79
81,81,90,86
87,83,95,99
100,91,96,103

22,1,1,2
25,1,19,7
41,1,29,7
58,7,31,8
58,8,52,12
60,26,58,12
60,28,74,20
65,32,78,33
84,35,78,37
89,41,78,52
107,42,82,55

0,26,26,26
8,39,26,31
13,43,41,33
14,43,46,53
18,51,60,53
32,55,65,56
38,70,65,61
60,73,66,61
66,91,67,62
66,94,67,85
73,98,69,98
73,98,78,115

0,20,5,1
0,20,21,11
0,20,34,24
4,21,34,45
5,28,48,49
11,32,61,52
15,33,82,52
31,33,92,52
37,33,94,70
38,43,108,71

4,21,0,1
21,22,1,8
42,22,6,8
45,40,11,8
45,40,16,29
61,47,17,31
62,57,17,46
66,77,18,47
75,77,21,61
88,77,27,68
88,86,31,81
92,104,35,81

10,1,0,15
23,1,8,20
40,10,8,20
49,14,21,20
49,15,25,41
69,15,31,41
75,15,48,44
83,16,52,57
101,17,59,57

4,0,0,22
4,0,11,37
14,2,24,38
16,8,40,40
31,19,40,40
34,37,44,41
34,41,58,49
40,48,58,62
40,70,62,62
53,80,64,63
63,80,78,65
63,82,82,85
67,86,100,85

0,7,0,19
0,23,4,25
13,23,12,30
14,41,12,37
19,41,12,58
19,49,30,58
22,67,30,63
22,68,43,75
28,84,47,75
31,85,52,92
40,86,55,105

15,2,0,9
29,5,5,13
29,8,9,32
48,12,9,35
63,16,9,42
68,16,25,47
68,35,32,47
81,35,45,47
83,40,45,66
101,43,49,67

0,0,25,1
0,21,28,3
2,25,28,23
8,28,28,40
12,30,48,40
12,46,57,41
13,47,60,62
26,47,65,70
28,50,84,72
41,54,84,81
57,60,88,81
58,80,88,86
59,92,101,86

13,7,6,0
13,10,6,23
20,10,21,27
20,26,27,31
38,29,28,35
40,42,39,35
54,47,46,35
69,56,46,37
74,56,65,39
80,57,81,42
80,65,85,56
86,80,86,60
103,80,87,68

4,15,4,3
6,28,4,14
7,43,9,19
9,47,28,20
9,61,40,20
9,86,40,21
9,90,40,43
22,90,53,43
35,92,64,43
36,110,68,46

0,1,17,8
5,5,31,11
6,7,31,34
13,7,50,34
14,24,54,38
14,41,59,42
21,45,74,42
21,48,93,46
34,61,93,46
39,74,101,46

1,13,6,6
1,31,10,10
1,44,17,16
1,65,20,18
4,69,21,36
21,72,22,41
21,88,22,51
25,88,27,68
25,113,28,68

