rand1,rand2,rand3,rand4
2,0,24,0
5,2,44,1
18,11,47,2
18,37,73,28
22,42,90,28
44,46,90,28
57,47,102,28

8,18,0,0
9,19,2,22
9,39,3,27
10,57,3,34
10,58,21,41
10,61,39,46
10,65,41,66
13,81,47,67
14,88,64,68
16,92,84,68
16,92,97,81
36,94,100,82

8,0,13,5
8,1,20,23
32,1,21,24
48,1,21,34
53,1,35,41
61,1,53,41
66,1,60,55
79,7,63,59
82,14,63,75
87,15,67,91
91,17,82,96
109,17,85,101

3,8,0,15
20,14,3,15
36,20,6,16
54,28,6,16
54,30,6,40
55,46,15,40
59,51,18,54
59,51,39,59
65,55,52,62
66,55,55,84
66,78,57,85
81,82,58,91
81,89,74,94
84,89,74,117

17,4,4,1
24,7,20,1
24,20,32,2
39,22,40,3
44,22,53,11
44,31,53,28
44,32,72,34
45,50,76,37
46,51,80,57
48,71,84,57
51,73,89,73
68,75,96,73
74,75,103,86

0,4,6,16
20,8,8,16
23,15,9,31
36,17,15,36
62,43,15,62
62,58,26,62
67,72,33,62
80,74,34,72
80,88,39,79
85,94,53,80
98,102,57,81

0,4,3,19
1,11,18,22
20,16,19,23
27,30,23,24
27,42,24,37
27,50,42,37
30,64,43,45
46,64,44,54
46,64,46,78
48,69,49,94
50,69,49,118

5,1,20,0
10,1,21,20
17,1,23,37
23,1,39,41
38,5,46,41
43,10,61,42
62,11,61,48
65,18,61,64
69,35,65,65
82,37,76,65
84,37,85,80
84,57,89,82
110,83,115,82

0,0,4,22
6,2,9,35
17,2,24,35
26,2,24,52
26,8,24,72
50,8,24,74
55,12,37,78
73,17,40,78
93,18,40,83
108,21,46,85

4,17,5,0
4,36,11,1
9,50,11,8
14,50,18,22
20,50,21,39
35,53,21,47
48,56,26,52
48,56,47,57
48,67,62,57
48,73,69,70
48,74,78,86
48,74,92,98
52,83,105,98

22,0,0,4
25,16,4,7
39,23,4,12
46,23,23,12
46,29,23,32
46,50,28,32
59,50,36,37
60,50,60,38
60,64,64,46
60,69,71,60
73,69,71,73
73,69,84,86
80,69,87,102

14,1,0,11
30,9,2,11
34,10,22,12
37,27,22,18
37,47,28,18
59,51,28,18
59,65,33,25
75,71,37,25
81,73,37,43
102,73,41,44

0,4,22,0
4,4,22,22
4,17,22,35
18,22,22,42
32,22,33,43
33,40,39,44
33,48,40,61
37,52,45,74
37,76,45,76
38,77,62,83
47,80,62,97
47,80,67,118

0,1,16,9
14,1,23,14
14,2,29,33
15,4,33,52
31,4,43,52
35,4,60,57
52,5,66,59
78,5,92,85
95,9,92,90
115,13,94,90

0,2,23,1
13,2,26,11
18,6,29,25
18,8,49,29
43,8,49,30
43,23,56,34
62,23,63,34
67,26,64,51
68,26,79,61
81,26,87,66
102,27,91,66

0,1,3,22
5,1,23,23
9,1,41,27
26,4,47,27
30,6,51,43
34,27,51,44
35,28,54,65
38,28,71,71
64,28,97,97
67,45,102,98

3,3,18,2
3,17,25,7
7,17,28,26
11,20,28,45
25,25,33,47
